line : 55 [-4, -6, 6, 27, 3, 5, -27, 162, [810, 2916], (147*L+80)*(18324*L-2275)*(233369981290186722*L^2+20290814261945055*L-7643950917218000), false]
line : 58 [10, 10, -1, -4, -24, 24, -30, 3, [-10, 16], 1, false]
line : 59 [-10, -10, -1, -4, -24, 24, -30, 3, [-10, 16], 1, false]
line : 62 [-1, -4, -6, 10, -30, 3, 5, -24, [-48, 4], 1, false]
line : 63 [-1, -4, -6, -10, -30, 3, 5, -24, [-48, 4], 1, false]
line : 64 [-4, -6, 10, 10, 3, 5, -24, 24, [60, 121], 1, false]
line : 65 [-4, -6, -10, -10, 3, 5, -24, 24, [60, 121], 1, false]
line : 67 [-5, -25, -101, -4, -24, 114, -2280, 3, [-10, 16], 1, false]
line : 68 [-25, -101, -4, -6, 114, -2280, 3, 5, [48, 121], (2891*L+192)^2*(1883783*L-529104)^2, false]
line : 69 [-101, -4, -6, -5, -2280, 3, 5, -24, [-228, 169], (3136*L+57)*(121637*L-194256)*(35958810047212*L^2+19302439570413*L+190598757678), false]
line : 70 [-4, -6, -5, -25, 3, 5, -24, 114, [4560, 19321], (108829*L-18240)*(35532829*L+12015600)*(4808478198849257423189*L^2-1230530843393984656080*L+78698323452386534400), false]
line : 72 [-8, -15, 20, -4, -20, 50, -300, 3, [-10, 16], 1, false]
line : 73 [-15, 20, -4, -6, 50, -300, 3, 5, [40, 144], (147*L+80)*(18324*L-2275)*(30399645730795938*L^2-5555075080265805*L+302334280678000), false]
line : 74 [20, -4, -6, -8, -300, 3, 5, -20, [-100, 25], 1, false]
line : 75 [-4, -6, -8, -15, 3, 5, -20, 50, [600, 1600], (637*L+48)*(1510*L+693)*(3816451461951320*L^2+2951478585160791*L-1140481528019856), false]
line : 77 [4, 9, 24, -4, -12, 18, -180, 3, [-10, 16], 1, false]
line : 78 [9, 24, -4, -6, 18, -180, 3, 5, [24, 64], (637*L+48)*(1510*L+693)*(786567539504920*L^2-133812238122771*L-1028430751241520), false]
line : 79 [24, -4, -6, 4, -180, 3, 5, -12, [-36, 9], 1, false]
line : 80 [-4, -6, 4, 9, 3, 5, -12, 18, [360, 1296], (147*L+80)*(18324*L-2275)*(4986548703495293418*L^2-255775401711334305*L-106728026606882000), false]
line : 83 [5, 5, -1, -4, -6, 6, -30, 3, [-10, 16], 1, false]
line : 84 [-5, -5, -1, -4, -6, 6, -30, 3, [-10, 16], 1, false]
line : 86 [-5, -1, -4, -6, 6, -30, 3, 5, [12, 49], 1, false]
line : 87 [-1, -4, -6, 5, -30, 3, 5, -6, [-12, 1], 1, false]
line : 89 [-4, -6, 5, 5, 3, 5, -6, 6, [60, 121], 1, false]
line : 90 [-4, -6, -5, -5, 3, 5, -6, 6, [60, 121], 1, false]
line : 91 [-8, 8, 13, 20, 7, 12, -14, 84, [-6, 4], (3993246910028781157625*L^4+1653402901258853987712*L^3+438060658257007333101*L^2+30874722751950655392*L+812306923472401920), false]
line : 92 [8, 13, 20, -4, 12, -14, 84, 3, [-14, 36], (9195024548734085577590775*L^4-1818393846230966324157936*L^3+612239203439558203674123*L^2-72120655574340429899808*L+2464694170493845316096), false]
line : 93 [13, 20, -4, -8, -14, 84, 3, 7, [-24, 16], (636801746836466298399313*L^4+966407874548156221041696*L^3+492059968142854824373104*L^2+7441708206214207268352*L+44136898219859708160), false]
line : 94 [20, -4, -8, 8, 84, 3, 7, 12, [28, 225], (113594144612272846875*L^4-14206341977034593400*L^3+893756404746410058*L^2-32492463290184744*L+495915210852523), false]
line : 95 [-4, -8, 8, 13, 3, 7, 12, -14, [-168, 64], (7461945246287503676230207*L^4-26818630956685609174551264*L^3+396903256078888715044725648*L^2+13912118940677000740752384*L+134467756472175214378752), false]
line : 96 [-8, 7, 11, 13, 7, 12, -12, 42, [-6, 4], (2148673229803373524*L^4+1159702540874814492*L^3+278688015408192129*L^2+20794830883930080*L+535401119808000), false]
line : 97 [7, 11, 13, -4, 12, -12, 42, 3, [-14, 36], (29649819565982626100*L^4-9828811287805080900*L^3+3726792731327184729*L^2-422776974106422432*L+14030851448259072), false]
line : 98 [11, 13, -4, -8, -12, 42, 3, 7, [-24, 1], (48454712656176026993*L^4+671555047401554939168*L^3+5541024850010542299520*L^2+114540150361677318144*L+845713671798067200), false]
line : 99 [13, -4, -8, 7, 42, 3, 7, 12, [24, 169], (2197465620386137892765*L^4-565359868191886923168*L^3+51848768362823644032*L^2-3110569832822335488*L+158067886345408512), false]
line : 100 [-4, -8, 7, 11, 3, 7, 12, -12, [-84, 1], (3048969696303282205*L^4+95673944959385615438*L^3+1028164591813229807293*L^2+35970983477196440904*L+352983468202963920), false]
line : 101 [-8, -8, -13, -8, 7, 15, -30, -105, [-6, 4], 1, false]
line : 102 [-8, -13, -8, -4, 15, -30, -105, 3, [-14, 36], (2749150326373704569*L^4+199645008452134928*L^3-15809692551930272*L^2-706055619499776*L+34204787640576), false]
line : 103 [-13, -8, -4, -8, -30, -105, 3, 7, [-30, 4], (833716434827151491*L^4+398406233337240240*L^3+51691097350202400*L^2-11899086066720000*L-1363025556000000), false]
line : 104 [-8, -4, -8, -8, -105, 3, 7, 15, [60, 289], 1, false]
line : 105 [-4, -8, -8, -13, 3, 7, 15, -30, [210, 484], (665903444870990372959*L^4+919720313145029504880*L^3+42300761575496522400*L^2-198954775242629280000*L-19704189421476000000), false]
line : 106 [-8, 17, -23, 97, 7, 60, 120, -840, [-6, 4], (4361445851147869181056100*L^4-185224334551448741369940*L^3+373675686774465063314529*L^2+14499367735934221524000*L+337529350223229600000), false]
line : 107 [17, -23, 97, -4, 60, 120, -840, 3, [-14, 36], (54052723474941900960556494436*L^4-1801586020141243159985592228*L^3+318058034242573564420897017*L^2-85282203213507532541559264*L+3872135201852790110456064), false]
line : 108 [-23, 97, -4, -8, 120, -840, 3, 7, [-120, 49], (1025284476850368650684279134350881*L^4+2523874801200531753361572310485360*L^3+1651528619768931691381052136206400*L^2+12662807809034784984408161280000*L+80056724522197422772224000000), false]
line : 109 [97, -4, -8, 17, -840, 3, 7, 60, [-240, 49], (397609944112653092452521499379*L^4-1688939975386619966773276785920*L^3+7589967332454673627907387302400*L^2+424509683035424568664965120000*L+6061714119401017641984000000), false]
