"LINE", "SPECTRA", "IDEAL J", "IDEAL I"
"line 54", "[7, 13, 13, 4, 12, -48, -48, 3, -49, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 55", "[13, 13, 4, 9, -48, -48, 3, 8, -1, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 56", "[13, 4, 9, 7, -48, 3, 8, 12, -361, -96]", "[2, [1, 2]]", "[infinity, [0]]"
"line 57", "[4, 9, 7, 13, 3, 8, 12, -48, -361, -96]", "[2, [1, 2]]", "[infinity, [0]]"
"line 58", "[13, 22, -47, 4, 12, -23, 552, 3, -49, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 59", "[22, -47, 4, 9, -23, 552, 3, 8, -121, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 60", "[-14, -23, 25, 4, 13, -24, 156, 3, -49, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 61", "[25, 4, 9, -14, 156, 3, 8, 13, -625, -48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 62", "[8, 0, 16, 4, 16, -64, -192, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 63", "[8, 0, 16, 4, 16, -64, -192, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 64", "[16, 4, 6, 8, -192, 3, 8, 16, -256, -128]", "[2, [1, 2]]", "[infinity, [0]]"
"line 65", "[4, 6, 8, 0, 3, 8, 16, -64, -1024, -384]", "[2, [1, 2]]", "[infinity, [0]]"
"line 66", "[4, 6, 8, 0, 3, 8, 16, -64, -1024, -384]", "[2, [1, 2]]", "[infinity, [0]]"
"line 67", "[12, 16, 32, 4, 20, -192, -320, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 68", "[16, 32, 4, 6, -192, -320, 3, 8, -64, 40]", "[2, [1, 2]]", "[infinity, [0]]"
"line 69", "[32, 4, 6, 12, -320, 3, 8, 20, -1024, -384]", "[2, [1, 2]]", "[infinity, [0]]"
"line 70", "[4, 6, 12, 16, 3, 8, 20, -192, -2304, -640]", "[2, [1, 2]]", "[infinity, [0]]"
"line 71", "[10, 16, -32, 4, 21, -192, -1344, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 72", "[16, -32, 4, 6, -192, -1344, 3, 8, -16, 42]", "[2, [1, 2]]", "[infinity, [0]]"
"line 73", "[-32, 4, 6, 10, -1344, 3, 8, 21, -1024, -384]", "[2, [1, 2]]", "[infinity, [0]]"
"line 74", "[4, 6, 10, 16, 3, 8, 21, -192, -6400, -2688]", "[2, [1, 2]]", "[infinity, [0]]"
"line 75", "[11, 18, 25, 4, 28, 56, -84, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 76", "[18, 25, 4, 6, 56, -84, 3, 8, -9, 56]", "[2, [1, 2]]", "[infinity, [0]]"
"line 77", "[25, 4, 6, 11, -84, 3, 8, 28, -100, 112]", "[2, [1, 2]]", "[infinity, [0]]"
"line 78", "[4, 6, 11, 18, 3, 8, 28, 56, -961, -168]", "[2, [1, 2]]", "[infinity, [0]]"
"line 79", "[11, 16, 26, 4, 30, 60, -120, 3, -4, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 80", "[16, 26, 4, 6, 60, -120, 3, 8, -1, 60]", "[2, [1, 2]]", "[infinity, [0]]"
"line 81", "[4, 6, 11, 16, 3, 8, 30, 60, -1156, -240]", "[2, [1, 2]]", "[infinity, [0]]"
"line 82", "[-23, 17, 4, -10, -24, 72, 3, 9, -121, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 83", "[17, 4, -10, 13, 72, 3, 9, 12, -625, -48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 84", "[-12, 22, 172, 4, 32, 40, -1440, 3, -64, 18]", "[2, [1, 2]]", "[infinity, [0]]"
"line 85", "[22, 172, 4, 10, 40, -1440, 3, 9, -16, 64]", "[2, [1, 2]]", "[infinity, [0]]"
"line 86", "[172, 4, 10, -12, -1440, 3, 9, 32, -324, 80]", "[2, [1, 2]]", "[infinity, [0]]"
"line 87", "[4, 10, -12, 22, 3, 9, 32, 40, -35344, -2880]", "[2, [1, 2]]", "[infinity, [0]]"
"line 93", "[4, 8, 8, 8, 3, 15, 15, 15, -289, -60]", "[infinity, [0]]", "[infinity, [0]]"
"line 94", "[6, 11, 18, -39, 5, 10, -19, 380, -9, 8]", "[2, [1, 2]]", "[infinity, [0]]"
"line 95", "[18, -39, 5, 6, -19, 380, 4, 5, -81, 20]", "[2, [1, 2]]", "[infinity, [0]]"
"line 96", "[6, -12, -19, 21, 5, 11, -20, 110, -9, 8]", "[2, [1, 2]]", "[infinity, [0]]"
"line 97", "[21, 5, 6, -12, 110, 4, 5, 11, -441, -40]", "[2, [1, 2]]", "[infinity, [0]]"
"line 98", "[11, 11, 4, 6, -60, -60, 4, 5, -16, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 99", "[11, 4, 6, 8, -60, 4, 5, 12, -361, -120]", "[2, [1, 2]]", "[infinity, [0]]"
"line 100", "[4, 6, 8, 11, 4, 5, 12, -60, -361, -120]", "[2, [1, 2]]", "[infinity, [0]]"
"line 105", "[-5, -9, 16, 4, 6, -10, 60, 4, -25, 12]", "[2, [1, 2]]", "[infinity, [0]]"
"line 106", "[-9, 16, 4, -5, -10, 60, 4, 6, -25, 12]", "[2, [1, 2]]", "[infinity, [0]]"
"line 107", "[16, 4, 7, -5, 60, 4, 6, 6, -121, -20]", "[2, [1, 2]]", "[infinity, [0]]"
"line 108", "[16, 4, -5, 7, 60, 4, 6, 6, -121, -20]", "[2, [1, 2]]", "[infinity, [0]]"
"line 109", "[4, 7, -5, -9, 4, 6, 6, -10, -16, 120]", "[2, [1, 2]]", "[infinity, [0]]"
"line 110", "[4, -5, 7, -9, 4, 6, 6, -10, -16, 120]", "[2, [1, 2]]", "[infinity, [0]]"
"line 111", "[2, 4, 5, 6, -48, 4, 6, 8, -196, -96]", "[2, [1, 2]]", "[infinity, [0]]"
"line 112", "[4, 5, 6, 2, 4, 6, 8, -48, -196, -96]", "[2, [1, 2]]", "[infinity, [0]]"
"line 113", "[-19, 11, 5, -7, -20, 30, 4, 6, -81, 20]", "[2, [1, 2]]", "[infinity, [0]]"
"line 114", "[11, 5, -7, 11, 30, 4, 6, 10, -441, -40]", "[2, [1, 2]]", "[infinity, [0]]"
"line 115", "[-8, 10, -18, 4, 15, 24, -40, 4, -25, 12]", "[2, [1, 2]]", "[infinity, [0]]"
"line 116", "[14, 18, 4, 5, 24, -40, 4, 6, -4, 30]", "[2, [1, 2]]", "[infinity, [0]]"
"line 117", "[10, -18, 4, 7, 24, -40, 4, 6, -4, 30]", "[2, [1, 2]]", "[infinity, [0]]"
"line 118", "[18, 4, 5, 8, -40, 4, 6, 15, -100, 48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 119", "[-18, 4, 7, -8, -40, 4, 6, 15, -4, 48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 120", "[4, 5, 8, 14, 4, 6, 15, 24, -484, -80]", "[2, [1, 2]]", "[infinity, [0]]"
"line 121", "[4, 7, -8, 10, 4, 6, 15, 24, -484, -80]", "[2, [1, 2]]", "[infinity, [0]]"
"line 122", "[20, 4, 5, 8, -96, 4, 6, 16, -16, 64]", "[2, [1, 2]]", "[infinity, [0]]"
"line 123", "[4, 5, 8, 12, 4, 6, 16, 32, -784, -192]", "[2, [1, 2]]", "[infinity, [0]]"
"line 124", "[-11, 101, 5, 5, 28, -420, 4, 6, -361, 40]", "[2, [1, 2]]", "[infinity, [0]]"
"line 125", "[5, 5, 21, -11, 4, 6, 20, 28, -11881, -840]", "[2, [1, 2]]", "[infinity, [0]]"
"line 126", "[13, 7, -23, -5, 12, 12, -24, 4, -49, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 127", "[7, 13, -23, -5, 12, 12, -24, 4, -49, 16]", "[2, [1, 2]]", "[infinity, [0]]"
"line 128", "[7, -23, -5, 9, 12, -24, 4, 8, -121, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 129", "[-23, -5, 9, 7, -24, 4, 8, 12, -121, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 130", "[4, 6, 7, 7, 4, 8, 12, 12, -196, -48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 131", "[-5, 9, 13, 7, 4, 8, 12, 12, -625, -48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 132", "[-5, 9, 7, 13, 4, 8, 12, 12, -625, -48]", "[2, [1, 2]]", "[infinity, [0]]"
