[2, -5, 1, 1, 5, -5, 1], [5, 12, 3, 3, -1, 4, 2]
[1, 1, -1, 2, 17, -17, 1], [3, 3, 4, 5, -5, 12, 2]
[-9, -9, -9, 1, 4, -4, 1], [10, 10, 10, 3, 1, 5, 2]
[-9, -9, 1, 1, 19, -19, 1], [10, 10, 3, 5, -9, 10, 2]
[-9, 1, 1, -9, 19, -19, 1], [10, 3, 5, 10, -9, 10, 2]
[1, 1, -9, -9, 19, -19, 1], [3, 5, 10, 10, -9, 10, 2]
[4, -4, -80, 1, 4, -4, 1], [-14, 16, -84, 3, 1, 5, 2]
[-4, -80, 1, 1, 18, -18, 1], [16, -84, 3, 5, -14, 4, 2]
[-80, 1, 1, 4, 20, -20, 1], [-84, 3, 5, -14, -4, 16, 2]
[1, 1, 4, -4, 4, -4, 1], [3, 5, -14, 16, -84, -80, 2]
[-3, 5, 15, 1, 4, -4, 1], [15, -15, 30, 3, 1, 5, 2]
[5, 15, 1, 1, 18, -18, 1], [-15, 30, 3, 5, -3, 15, 2]
[15, 1, 1, -3, 20, -20, 1], [30, 3, 5, 15, -15, 5, 2]
[1, 1, -3, 5, 15, -15, 1], [3, 5, 15, -15, 15, 30, 2]
[4, -3, 11, 1, 4, -4, 1], [-11, 28, 70, 3, 1, 5, 2]
[-3, 11, 1, 1, 15, -15, 1], [28, 70, 3, 5, -11, 4, 2]
[11, 1, 1, 4, 31, -31, 1], [70, 3, 5, -11, -3, 28, 2]
[1, 1, 4, -3, 59, -59, 1], [3, 5, -11, 28, 11, 70, 2]
[-6, -14, -14, 1, 4, -4, 1], [7, 15, 15, 3, 1, 5, 2]
[-14, -14, 1, 1, 13, -13, 1], [15, 15, 3, 5, -6, 7, 2]
[-14, 1, 1, -6, 29, -29, 1], [15, 3, 5, 7, -14, 15, 2]
[1, 1, -6, -14, 29, -29, 1], [3, 5, 7, 15, -14, 15, 2]
[-3, 6, 20, 1, 4, -4, 1], [12, -21, 21, 3, 1, 5, 2]
[6, 20, 1, 1, 15, -15, 1], [-21, 21, 3, 5, -3, 12, 2]
[20, 1, 1, -3, 27, -27, 1], [21, 3, 5, 12, -21, 6, 2]
[1, 1, -3, 6, 1, -1, 1], [3, 5, 12, -21, 20, 21, 2]
[4, -8, -30, 1, 4, -4, 1], [-8, 44, -44, 3, 1, 5, 2]
[-8, -30, 1, 1, 12, -12, 1], [44, -44, 3, 5, -8, 4, 2]
[-30, 1, 1, 4, 52, -52, 1], [-44, 3, 5, -8, -8, 44, 2]
[1, 1, 4, -8, 14, -14, 1], [3, 5, -8, 44, -44, -30, 2]
[3, -9, -9, 1, 4, -4, 1], [-9, -18, 45, 3, 1, 5, 2]
[-9, -9, 1, 1, 12, -12, 1], [-18, 45, 3, 5, -9, 3, 2]
[-9, 1, 1, 3, 9, -9, 1], [45, 3, 5, -9, -18, -9, 2]
[1, 1, 3, -9, 54, -54, 1], [3, 5, -9, -18, -9, 45, 2]
[-3, 6, -19, 1, 4, -4, 1], [8, 19, 120, 3, 1, 5, 2]
[6, -19, 1, 1, 11, -11, 1], [19, 120, 3, 5, -3, 8, 2]
[-19, 1, 1, -3, 13, -13, 1], [120, 3, 5, 8, 6, 19, 2]
[1, 1, -3, 6, 139, -139, 1], [3, 5, 8, 19, -19, 120, 2]
[-2, 5, 10, 1, 4, -4, 1], [10, 10, -30, 3, 1, 5, 2]
[5, 10, 1, 1, 12, -12, 1], [10, -30, 3, 5, -2, 10, 2]
[10, 1, 1, -2, 5, -5, 1], [-30, 3, 5, 10, 5, 10, 2]
[1, 1, -2, 5, 40, -40, 1], [3, 5, 10, 10, -30, 10, 2]
[-3, 6, 1, 1, 8, -8, 1], [-6, -30, 3, 5, -6, 2, 2]
[6, 1, 1, 2, 3, -3, 1], [-30, 3, 5, -6, -6, -3, 2]
[1, 1, 2, -3, 36, -36, 1], [3, 5, -6, -6, -30, 6, 2]
[1, -6, 1, 1, 4, -4, 1], [-14, -14, 3, 7, -6, -2, 2]
[-6, 1, 1, -2, 15, -15, 1], [-14, 3, 7, -6, -14, 1, 2]
[1, 1, -2, 1, 8, -8, 1], [3, 7, -6, -14, -14, -6, 2]
[-7, 1, 1, 3, 17, -17, 1], [15, 3, 7, 5, -2, 15, 2]
[1, 1, 3, -2, 22, -22, 1], [3, 7, 5, 15, -7, 15, 2]
[8, 8, 1, 1, 7, -7, 1], [15, -105, 3, 7, -12, -5, 2]
[8, 1, 1, -5, 7, -7, 1], [-105, 3, 7, -12, 8, 15, 2]
[1, 1, -5, 8, 113, -113, 1], [3, 7, -12, 15, -105, 8, 2]
[3, -3, -3, 1, 7, -7, 1], [4, 16, 16, 3, 1, 8, 2]
[-3, -3, 1, 1, 1, -1, 1], [16, 16, 3, 8, 3, 4, 2]
[-3, 1, 1, 3, 19, -19, 1], [16, 3, 8, 4, -3, 16, 2]
[1, 1, 3, -3, 19, -19, 1], [3, 8, 4, 16, -3, 16, 2]
[1, -1, -23, 1, 7, -7, 1], [12, 23, -24, 3, 1, 8, 2]
[-1, -23, 1, 1, 11, -11, 1], [23, -24, 3, 8, 1, 12, 2]
[-1, 1, 12, 1, 7, -7, 1], [-13, -24, 13, 3, 1, 8, 2]
[12, 1, 1, -1, 25, -25, 1], [13, 3, 8, -13, -24, 1, 2]
[4, 8, -8, 1, 2, -2, 1], [4, -8, 24, 3, 2, 4, 2]
[4, -8, -8, 1, 2, -2, 1], [4, 8, 24, 3, 2, 4, 2]
[-8, 1, 2, 4, 16, -16, 1], [24, 3, 4, 4, -8, 8, 2]
[1, 2, 4, 8, 32, -32, 1], [3, 4, 4, -8, -8, 24, 2]
[1, 2, 4, -8, 32, -32, 1], [3, 4, 4, 8, -8, 24, 2]
[2, -8, -8, 1, 2, -2, 1], [10, 24, 40, 3, 2, 4, 2]
[-8, -8, 1, 2, 8, -8, 1], [24, 40, 3, 4, 2, 10, 2]
[-8, 1, 2, 2, 32, -32, 1], [40, 3, 4, 10, -8, 24, 2]
[1, 2, 2, -8, 48, -48, 1], [3, 4, 10, 24, -8, 40, 2]
[3, -8, 24, 1, 2, -2, 1], [7, 24, -56, 3, 2, 4, 2]
[-8, 24, 1, 2, 4, -4, 1], [24, -56, 3, 4, 3, 7, 2]
[24, 1, 2, 3, 32, -32, 1], [-56, 3, 4, 7, -8, 24, 2]
[1, 2, 3, -8, 80, -80, 1], [3, 4, 7, 24, -56, 24, 2]
[4, 4, -3, 1, 2, -2, 1], [7, 14, 28, 3, 2, 4, 2]
[4, -3, 1, 2, 3, -3, 1], [14, 28, 3, 4, 4, 7, 2]
[-3, 1, 2, 4, 10, -10, 1], [28, 3, 4, 7, 4, 14, 2]
[1, 2, 4, 4, 31, -31, 1], [3, 4, 7, 14, -3, 28, 2]
[5, 6, -4, 1, 2, -2, 1], [6, 10, 30, 3, 2, 4, 2]
[6, -4, 1, 2, 1, -1, 1], [10, 30, 3, 4, 5, 6, 2]
[1, 2, 5, 6, 34, -34, 1], [3, 4, 6, 10, -4, 30, 2]
[1, 8, 1, -1, 11, -11, 1], [-24, 9, 3, -9, 1, 12, 2]
[8, 1, -1, 1, 25, -25, 1], [9, 3, -9, 12, -24, 1, 2]
[-4, 2, -8, 1, 8, -8, 1], [-8, 20, 180, 3, 1, 9, 2]
[2, -8, 1, 1, 4, -4, 1], [20, 180, 3, 9, -8, -4, 2]
[-8, 1, 1, -4, 18, -18, 1], [180, 3, 9, -8, 2, 20, 2]
[1, 1, -4, 2, 188, -188, 1], [3, 9, -8, 20, -8, 180, 2]
[10, 1, 2, 2, 16, -16, 1], [-13, 3, 5, 5, -3, 13, 2]
[1, 2, 2, -3, 23, -23, 1], [3, 5, 5, 13, -13, 10, 2]
[-5, 12, 1, 2, 1, -1, 1], [17, -17, 3, 5, 3, 4, 2]
[12, 1, 2, 3, 22, -22, 1], [-17, 3, 5, 4, -5, 17, 2]
[1, 2, 3, -5, 29, -29, 1], [3, 5, 4, 17, -17, 12, 2]
[1, 3, 3, 3, 17, -17, 1], [3, 5, 5, 5, -2, 15, 2]
[1, 1, -1, -19, 3, -3, 1], [5, 10, 19, -20, 1, 4, 2]
[-1, -19, 1, 1, 9, -9, 1], [19, -20, 4, 5, 1, 10, 2]
[1, -1, 1, 10, 3, -3, 1], [5, -11, -20, 11, 1, 4, 2]
[10, 1, 1, -1, 21, -21, 1], [11, 4, 5, -11, -20, 1, 2]
[-4, -4, 2, 1, 4, -4, 1], [15, 15, 2, 5, 2, 6, 2]
[-4, 2, 1, 2, 19, -19, 1], [15, 2, 5, 6, -4, 15, 2]
[2, 1, 2, -4, 19, -19, 1], [2, 5, 6, 15, -4, 15, 2]
[-3, 1, 2, 2, 11, -11, 1], [8, 4, 3, 3, -3, 8, 2]
[1, 2, 2, -3, 11, -11, 1], [4, 3, 3, 8, -3, 8, 2]
[-7, 1, 2, 2, 9, -9, 1], [12, 4, 3, 3, -2, 7, 2]
[1, 2, 2, -2, 19, -19, 1], [4, 3, 3, 7, -7, 12, 2]
[-2, 1, 6, 2, 5, -5, 1], [-3, -10, 10, 2, 1, 6, 2]
[1, 6, 2, -2, 5, -5, 1], [-10, 10, 2, -3, 1, 6, 2]
[6, 2, 1, -2, 11, -11, 1], [10, 2, 6, -3, -10, 1, 2]
[6, 2, -2, 1, 11, -11, 1], [10, 2, -3, 6, -10, 1, 2]
[2, 1, -2, 1, 4, -4, 1], [2, 6, -3, -10, 6, 10, 2]
[2, -2, 1, 1, 4, -4, 1], [2, -3, 6, -10, 6, 10, 2]
[-6, 2, 2, 2, 14, -14, 1], [8, 2, 3, 4, -6, 8, 2]
[2, 2, 2, -6, 14, -14, 1], [2, 3, 4, 8, -6, 8, 2]
[1, 5, 1, -1, 9, -9, 1], [-20, 6, 4, -6, 1, 10, 2]
[5, 1, -1, 1, 21, -21, 1], [6, 4, -6, 10, -20, 1, 2]
[-3, 4, 2, 2, 5, -5, 1], [-5, 6, -20, 2, 1, 6, 2]
[2, -2, 2, 2, 2, -2, 1], [12, 20, 2, 3, 3, 5, 2]
[4, 2, 2, 1, 2, -2, 1], [6, -20, 2, 6, -5, -3, 2]
[-2, 2, 2, 3, 10, -10, 1], [20, 2, 3, 5, 2, 12, 2]
[2, 2, 1, -3, 2, -2, 1], [-20, 2, 6, -5, 4, 6, 2]
[2, 2, 3, 2, 22, -22, 1], [2, 3, 5, 12, -2, 20, 2]
[2, 1, -3, 4, 22, -22, 1], [2, 6, -5, 6, -20, 2, 2]
[-4, 2, 2, 4, 4, -4, 1], [24, 2, 3, 4, 4, 8, 2]
[2, 2, 4, 4, 28, -28, 1], [2, 3, 4, 8, -4, 24, 2]
[-4, -4, 1, 2, 19, -19, 1], [-7, 105, 4, 3, 1, 20, 2]
[1, 2, 1, -4, 109, -109, 1], [4, 3, 20, -7, -4, 105, 2]
[1, 3, 1, -1, 7, -7, 1], [12, 4, -24, -4, 1, 8, 2]
[3, 1, 1, -1, 7, -7, 1], [4, 12, -24, -4, 1, 8, 2]
[3, 1, -1, 1, 11, -11, 1], [4, -24, -4, 8, 1, 12, 2]
[1, -1, 1, 3, 11, -11, 1], [-24, -4, 8, 4, 1, 12, 2]
[2, 2, 3, 3, 14, -14, 1], [2, 4, 4, 4, -2, 12, 2]
[-1, 1, 1, 3, 25, -25, 1], [-4, 8, 12, 4, -24, 1, 2]
[-1, 1, 3, 1, 25, -25, 1], [-4, 8, 4, 12, -24, 1, 2]
